local_uri,tmdb_id,imdb_id,title,release_date,wikidata_uri,wikidata_label,wikidata_release_date,dbpedia_uri,search_method,matched_by,score,status
https://example.org/movie/299534,299534,tt4154796,Avengers: Endgame,04-24-19,http://www.wikidata.org/entity/Q23781155,Avengers: Endgame,04-22-19,http://dbpedia.org/resource/Avengers:_Endgame,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/299536,299536,tt4154756,Avengers: Infinity War,04-25-18,http://www.wikidata.org/entity/Q23780914,Avengers: Infinity War,04-25-18,http://dbpedia.org/resource/Avengers:_Infinity_War,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/414906,414906,tt1877830,The Batman,03-01-22,http://www.wikidata.org/entity/Q61117344,The Batman,02-23-22,http://dbpedia.org/resource/The_Batman_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/454639,454639,tt0427340,Masters of the Universe,06-03-26,http://www.wikidata.org/entity/Q112040381,Masters of the Universe,05-18-26,http://dbpedia.org/resource/Masters_of_the_Universe_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/460458,460458,tt6920084,Resident Evil: Welcome to Raccoon City,11-24-21,http://www.wikidata.org/entity/Q101069738,Resident Evil: Welcome to Raccoon City,11-19-21,http://dbpedia.org/resource/Resident_Evil:_Welcome_to_Raccoon_City,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/533535,533535,tt6263850,Deadpool & Wolverine,07-24-24,http://www.wikidata.org/entity/Q102180106,Deadpool & Wolverine,07-24-24,http://dbpedia.org/resource/Deadpool_%26_Wolverine,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/569094,569094,tt9362722,Spider-Man: Across the Spider-Verse,05-31-23,http://www.wikidata.org/entity/Q76448600,Spider-Man: Across the Spider-Verse,06-01-23,http://dbpedia.org/resource/Spider-Man:_Across_the_Spider-Verse,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/603,603,tt0133093,The Matrix,03-31-99,http://www.wikidata.org/entity/Q83495,The Matrix,03-31-99,http://dbpedia.org/resource/The_Matrix,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/634649,634649,tt10872600,Spider-Man: No Way Home,12-15-21,http://www.wikidata.org/entity/Q68934496,Spider-Man: No Way Home,12-15-21,http://dbpedia.org/resource/Spider-Man:_No_Way_Home,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/634649,634649,tt10872600,Spider-Man: No Way Home,12-15-21,http://www.wikidata.org/entity/Q113471777,Spider-Man: No Way Home - The More Fun Stuff Version,09-07-22,,identifier,tmdb_id+imdb_id+release_year_mismatch,0.00,rejected
https://example.org/movie/6435,6435,tt0120791,Practical Magic,10-16-98,http://www.wikidata.org/entity/Q148429,Practical Magic,10-16-98,http://dbpedia.org/resource/Practical_Magic,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/671,671,tt0241527,Harry Potter and the Philosopher's Stone,11-16-01,http://www.wikidata.org/entity/Q102438,Harry Potter and the Philosopher's Stone,11-04-01,http://dbpedia.org/resource/Harry_Potter_and_the_Philosopher's_Stone_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/687163,687163,tt12042730,Project Hail Mary,03-15-26,http://www.wikidata.org/entity/Q107105860,Project Hail Mary,03-18-26,http://dbpedia.org/resource/Project_Hail_Mary_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/693134,693134,tt15239678,Dune: Part Two,02-27-24,http://www.wikidata.org/entity/Q109228991,Dune: Part Two,02-27-24,http://dbpedia.org/resource/Dune:_Part_Two,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/755898,755898,tt13186306,War of the Worlds,07-29-25,http://www.wikidata.org/entity/Q135458343,War of the Worlds,07-30-25,http://dbpedia.org/resource/War_of_the_Worlds_(2025_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/76341,76341,tt1392190,Mad Max: Fury Road,05-13-15,http://www.wikidata.org/entity/Q1757288,Mad Max: Fury Road,05-13-15,http://dbpedia.org/resource/Mad_Max:_Fury_Road,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/813418,813418,tt14119302,Hot Spot,08-21-26,http://www.wikidata.org/entity/Q138857118,Hot Spot,07-24-26,http://dbpedia.org/resource/Hot_Spot_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/822119,822119,tt14513804,Captain America: Brave New World,02-12-25,http://www.wikidata.org/entity/Q112322116,Captain America: Brave New World,02-12-25,http://dbpedia.org/resource/Captain_America:_Brave_New_World,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/83533,83533,tt1757678,Avatar: Fire and Ash,12-17-25,http://www.wikidata.org/entity/Q29580929,Avatar: Fire and Ash,12-01-25,http://dbpedia.org/resource/Avatar:_Fire_and_Ash,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/860508,860508,tt11561116,The Whisper Man,08-27-26,http://www.wikidata.org/entity/Q133852597,The Whisper Man,08-28-26,http://dbpedia.org/resource/The_Whisper_Man,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/872585,872585,tt15398776,Oppenheimer,07-19-23,http://www.wikidata.org/entity/Q108839994,Oppenheimer,07-20-23,http://dbpedia.org/resource/Oppenheimer_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/936075,936075,tt11378946,Michael,04-22-26,http://www.wikidata.org/entity/Q116677364,Michael,04-10-26,http://dbpedia.org/resource/Michael_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/969681,969681,tt22084616,Spider-Man: Brand New Day,07-29-26,http://www.wikidata.org/entity/Q113244935,Spider-Man: Brand New Day,07-29-26,http://dbpedia.org/resource/Spider-Man:_Brand_New_Day,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/980431,980431,tt18259538,Avatar Aang: The Last Airbender,07-24-26,http://www.wikidata.org/entity/Q125447555,Avatar Aang: The Last Airbender,07-25-26,http://dbpedia.org/resource/Avatar_Aang:_The_Last_Airbender,identifier,tmdb_id+imdb_id+release_year,1.00,approved
